,x,y,operationTime,H,L,kickerId,OK,Left,Right,WindDirection,WindSpeed,StadiumAzimuthAngle,pressAltit,actualLength,prdictedLength
37599,52.06,23.8,2.06,0,0,48139.0,1,0,0,151.57142857142858,7.812857142857142,289.5,-111.0857142857127,41.0,42.84453
40897,21.83,25.96,1.97,0,0,52599.0,1,0,0,234.71428571428572,19.262857142857143,302.1,753.5142857142905,58.0,44.957474
43814,29.69,23.68,2.12,0,0,52599.0,1,0,0,234.71428571428572,19.262857142857143,302.1,753.5142857142905,45.0,48.394337
46866,34.97,30.18,1.94,0,0,52599.0,1,0,0,234.71428571428572,19.262857142857143,302.1,753.5142857142905,43.0,44.191467
49903,54.120000000000005,29.853333333333335,2.01,0,0,52599.0,1,0,0,234.71428571428572,19.262857142857143,302.1,753.5142857142905,47.0,44.76627
52037,34.66,23.62,2.11,0,0,46903.0,1,0,0,234.71428571428572,19.262857142857143,302.1,753.5142857142905,53.0,50.590797
55164,44.730000000000004,29.513333333333335,1.96,0,0,52599.0,1,0,0,234.71428571428572,19.262857142857143,302.1,753.5142857142905,48.0,44.599377
57106,36.72,29.82,2.08,0,0,52599.0,1,0,0,234.71428571428572,19.262857142857143,302.1,753.5142857142905,37.0,47.121513
60180,26.560000000000002,23.573333333333334,2.1,0,0,53146.0,1,0,0,123.85714285714286,4.7942857142857145,322.4,574.757142857144,60.0,52.336796
63198,22.349999999999994,29.443333333333335,2.0,0,0,53146.0,1,0,0,123.85714285714286,4.7942857142857145,322.4,574.757142857144,60.0,53.72344
65991,45.67,29.553333333333335,2.22,0,0,48335.0,1,0,0,123.85714285714286,4.7942857142857145,322.4,574.757142857144,51.0,48.784
67828,43.29,23.93,2.05,0,0,41420.0,1,0,0,284.2857142857143,12.427142857142858,63.7,537.3571428571425,45.0,46.687145
70084,31.159999999999997,23.413333333333334,2.09,0,0,48258.0,0,0,1,284.2857142857143,12.427142857142858,63.7,537.3571428571425,53.0,49.26778
73263,42.82,27.18,2.16,0,0,48258.0,0,0,1,284.2857142857143,12.427142857142858,63.7,537.3571428571425,54.0,50.34229
75383,44.28,26.42,2.11,0,0,48258.0,0,0,1,284.2857142857143,12.427142857142858,63.7,537.3571428571425,55.0,49.30132
78179,23.810000000000002,29.283333333333335,2.27,0,0,41420.0,1,0,0,284.2857142857143,12.427142857142858,63.7,537.3571428571425,55.0,48.084743
80172,55.56,29.523333333333337,2.12,0,0,41420.0,1,0,0,284.2857142857143,12.427142857142858,63.7,537.3571428571425,42.0,42.69676
82589,48.05,28.763333333333335,1.93,0,0,48258.0,0,0,1,284.2857142857143,12.427142857142858,63.7,537.3571428571425,35.0,42.33996
85071,38.88,24.72,2.2,0,0,41420.0,1,0,0,284.2857142857143,12.427142857142858,63.7,537.3571428571425,38.0,44.47694
87269,46.06999999999999,23.533333333333335,2.21,0,0,46316.0,1,0,0,132.0,12.116666666666667,16.7,-20.86666666666315,31.0,43.688156
89388,42.56,23.54,2.27,0,0,46316.0,1,0,0,132.0,12.116666666666667,16.7,-20.86666666666315,52.0,48.906387
92538,27.900000000000006,26.293333333333337,2.36,0,0,46316.0,1,0,0,132.0,12.116666666666667,16.7,-20.86666666666315,53.0,49.07984
94635,30.099999999999994,25.913333333333334,2.18,0,0,34723.0,1,0,0,201.42857142857142,4.171428571428572,309.9,664.4142857142858,40.0,45.36536
96616,61.1,29.583333333333336,2.01,0,0,34723.0,1,0,0,201.42857142857142,4.171428571428572,309.9,664.4142857142858,40.0,39.788723
99408,50.07,24.06,2.1,0,0,46241.0,1,0,0,201.42857142857142,4.171428571428572,309.9,664.4142857142858,40.0,44.15929
102083,43.29,23.54,2.14,0,0,45296.0,1,0,0,184.66666666666666,9.735000000000001,343.0,141.36666666666784,45.0,49.260452
105367,59.14,29.573333333333334,2.16,0,0,47946.0,1,0,0,184.66666666666666,9.735000000000001,343.0,141.36666666666784,40.0,42.470154
107557,52.2,27.34,2.0,0,0,45296.0,1,0,0,184.66666666666666,9.735000000000001,343.0,141.36666666666784,58.0,49.075245
110950,43.98,23.67,2.23,0,0,47946.0,1,0,0,184.66666666666666,9.735000000000001,343.0,141.36666666666784,55.0,50.431507
113036,39.55,30.0,2.11,0,0,45296.0,1,0,0,184.66666666666666,9.735000000000001,343.0,141.36666666666784,49.0,48.44586
115544,59.16,26.763333333333335,2.09,0,0,40600.0,1,0,0,171.42857142857142,5.681428571428571,295.0,-5.142857142856457,47.0,42.842396
117700,34.91,29.483333333333334,2.06,0,0,40600.0,1,0,0,171.42857142857142,5.681428571428571,295.0,-5.142857142856457,51.0,48.444756
120631,43.97,29.543333333333337,2.12,1,0,45603.0,0,0,0,171.42857142857142,5.681428571428571,295.0,-5.142857142856457,53.0,50.534008
123796,51.54,29.8,2.0,0,0,40600.0,1,0,0,171.42857142857142,5.681428571428571,295.0,-5.142857142856457,48.0,47.287746
126288,32.92,23.643333333333334,2.1,0,0,45603.0,1,0,0,171.42857142857142,5.681428571428571,295.0,-5.142857142856457,51.0,50.672333
129497,38.86,29.77,2.03,0,0,40600.0,1,0,0,171.42857142857142,5.681428571428571,295.0,-5.142857142856457,43.0,46.71389
132586,34.739999999999995,23.723333333333336,2.14,0,0,45603.0,1,0,0,171.42857142857142,5.681428571428571,295.0,-5.142857142856457,59.0,50.82935
135756,42.8,29.413333333333334,2.18,0,0,45603.0,1,0,0,171.42857142857142,5.681428571428571,295.0,-5.142857142856457,62.0,51.796318
137830,15.72,23.52,2.07,0,0,40600.0,1,0,0,171.42857142857142,5.681428571428571,295.0,-5.142857142856457,49.0,49.029884
140756,42.71,23.71,2.0,0,0,40600.0,1,0,0,171.42857142857142,5.681428571428571,295.0,-5.142857142856457,51.0,49.258163
143041,39.36,23.58,2.23,0,0,34593.0,1,0,0,242.5,3.73,320.6,396.31666666666865,70.0,54.121002
145053,47.08,29.653333333333336,2.19,0,0,42663.0,1,0,0,242.5,3.73,320.6,396.31666666666865,42.0,46.33654
147780,46.49,29.75,2.23,0,0,34593.0,1,0,0,242.5,3.73,320.6,396.31666666666865,53.0,49.093773
151090,32.53,29.513333333333335,2.2,0,0,42663.0,1,0,0,242.5,3.73,320.6,396.31666666666865,51.0,49.027836
154073,43.59,29.56,2.22,0,0,34593.0,1,0,0,242.5,3.73,320.6,396.31666666666865,57.0,50.759083
156710,12.900000000000006,23.653333333333336,2.06,0,0,42663.0,1,0,0,242.5,3.73,320.6,396.31666666666865,39.0,45.646515
159222,59.16,26.703333333333337,2.23,0,0,34593.0,1,0,0,242.5,3.73,320.6,396.31666666666865,51.0,45.452045
161619,54.72,23.673333333333336,2.24,0,0,34593.0,1,0,0,242.5,3.73,320.6,396.31666666666865,55.0,48.608616
163637,51.94,23.463333333333335,2.22,0,0,34593.0,1,0,0,242.5,3.73,320.6,396.31666666666865,44.0,45.558247
166914,36.33,23.803333333333335,2.26,0,0,42663.0,1,0,0,242.5,3.73,320.6,396.31666666666865,63.0,52.831215
169369,42.66,24.03,2.17,0,0,42663.0,1,0,0,242.5,3.73,320.6,396.31666666666865,49.0,49.123116
200431,44.8,23.643333333333334,2.04,0,0,29141.0,1,0,0,326.6666666666667,6.835,330.0,23.98333333333335,53.0,47.95972
202968,37.22,23.633333333333336,2.01,0,0,29141.0,1,0,0,326.6666666666667,6.835,330.0,23.98333333333335,50.0,47.64829
204925,39.74,26.81,2.54,0,0,47893.0,1,0,0,326.6666666666667,6.835,330.0,23.98333333333335,46.0,47.584896
207517,32.879999999999995,23.863333333333337,2.02,0,0,29141.0,1,0,0,326.6666666666667,6.835,330.0,23.98333333333335,47.0,47.274204
210139,73.6,25.953333333333337,2.03,0,0,47893.0,1,0,0,326.6666666666667,6.835,330.0,23.98333333333335,30.0,31.841484
212299,46.56,29.513333333333335,2.06,0,0,47893.0,1,0,0,326.6666666666667,6.835,330.0,23.98333333333335,51.0,48.672836
214636,61.5,29.84,2.15,0,0,29141.0,1,0,0,326.6666666666667,6.835,330.0,23.98333333333335,41.0,39.024155
216960,52.14,27.843333333333337,2.08,0,0,47893.0,1,0,0,326.6666666666667,6.835,330.0,23.98333333333335,51.0,48.1267
218997,58.32,23.623333333333335,2.23,0,0,38138.0,1,0,0,245.0,5.283333333333333,338.2,174.50000000000054,35.0,37.132
220955,62.49,26.823333333333334,2.07,0,0,38138.0,1,0,0,245.0,5.283333333333333,338.2,174.50000000000054,32.0,34.46657
222976,47.61,29.573333333333334,2.14,0,0,38138.0,1,0,0,245.0,5.283333333333333,338.2,174.50000000000054,35.0,41.96255
226298,36.67,23.74,2.1,0,0,38815.0,1,0,0,245.0,5.283333333333333,338.2,174.50000000000054,58.0,49.942764
228359,56.08,23.523333333333337,2.13,0,0,38815.0,1,0,0,245.0,5.283333333333333,338.2,174.50000000000054,42.0,41.750645
230426,26.62,27.02,2.22,0,0,38138.0,1,0,0,245.0,5.283333333333333,338.2,174.50000000000054,54.0,47.649837
232386,58.71,29.593333333333337,2.11,0,0,38815.0,1,0,0,245.0,5.283333333333333,338.2,174.50000000000054,42.0,40.666035
235617,64.36,24.683333333333337,2.05,0,0,43517.0,1,0,0,345.0,9.735,345.5,-259.9666666666651,35.0,31.655052
238048,34.7,23.71,2.19,0,0,29926.0,0,1,0,345.0,9.735,345.5,-259.9666666666651,39.0,43.72957
240550,62.52,23.87,2.07,0,0,43517.0,1,0,0,345.0,9.735,345.5,-259.9666666666651,32.0,32.421883
243387,21.319999999999993,23.223333333333336,2.11,0,0,29926.0,1,0,0,345.0,9.735,345.5,-259.9666666666651,50.0,46.68616
245821,53.22,23.93,2.15,0,0,43517.0,1,0,0,345.0,9.735,345.5,-259.9666666666651,32.0,40.072666
247774,63.57,27.773333333333337,2.06,0,0,29926.0,1,0,0,345.0,9.735,345.5,-259.9666666666651,35.0,33.33101
251202,43.81999999999999,23.343333333333337,2.07,0,0,43517.0,1,0,0,345.0,9.735,345.5,-259.9666666666651,53.0,48.834282
253180,57.66,23.403333333333336,2.12,0,0,33338.0,1,0,0,154.16666666666666,7.56,0.0,5024.500000000002,41.0,39.818707
255837,46.96,29.75,2.11,0,0,40113.0,1,0,0,154.16666666666666,7.56,0.0,5024.500000000002,51.0,49.67914
259056,40.31,30.0,2.12,0,0,33338.0,1,0,0,154.16666666666666,7.56,0.0,5024.500000000002,66.0,52.352676
261749,41.7,23.75,2.29,1,0,40113.0,0,0,0,154.16666666666666,7.56,0.0,5024.500000000002,56.0,53.279312
265165,37.61,29.83,2.17,0,0,40113.0,1,0,0,154.16666666666666,7.56,0.0,5024.500000000002,53.0,50.240574
267273,38.9,23.93,2.16,0,1,33338.0,0,0,0,154.16666666666666,7.56,0.0,5024.500000000002,50.0,49.346657
269452,53.44,29.613333333333337,2.08,0,0,40113.0,1,0,0,154.16666666666666,7.56,0.0,5024.500000000002,52.0,47.954723
272011,13.55,23.61,2.06,0,0,33338.0,1,0,0,154.16666666666666,7.56,0.0,5024.500000000002,47.0,47.17121
273883,67.84,29.453333333333337,2.01,0,0,40113.0,1,0,0,154.16666666666666,7.56,0.0,5024.500000000002,32.0,35.4314
276779,29.689999999999998,23.213333333333335,2.21,0,0,34593.0,1,0,0,11.666666666666666,17.501666666666665,56.1,418.1499999999993,50.0,45.948616
278865,43.74,23.91,2.14,0,0,48139.0,0,0,1,11.666666666666666,17.501666666666665,56.1,418.1499999999993,43.0,45.72398
281880,24.78,23.283333333333335,2.2,0,0,34593.0,1,0,0,11.666666666666666,17.501666666666665,56.1,418.1499999999993,48.0,45.087395
285203,39.209999999999994,23.783333333333335,2.14,0,0,43517.0,1,0,0,136.57142857142858,9.674285714285714,353.9,116.25714285714628,62.0,51.118782
287856,47.39,29.69,2.19,0,0,41420.0,1,0,0,136.57142857142858,9.674285714285714,353.9,116.25714285714628,50.0,49.091354
291182,43.099999999999994,29.353333333333335,2.15,0,0,41420.0,1,0,0,136.57142857142858,9.674285714285714,353.9,116.25714285714628,51.0,50.056805
293374,56.62,29.61,2.14,0,0,43517.0,1,0,0,136.57142857142858,9.674285714285714,353.9,116.25714285714628,53.0,47.426773
295997,51.019999999999996,23.923333333333336,2.18,0,0,43517.0,1,0,0,136.57142857142858,9.674285714285714,353.9,116.25714285714628,59.0,47.99219
298070,41.98,29.78,2.02,0,0,52636.0,1,0,0,28.571428571428573,9.495714285714286,68.0,397.6285714285737,43.0,41.958103
301472,64.08,23.583333333333336,2.14,0,0,52636.0,1,0,0,28.571428571428573,9.495714285714286,68.0,397.6285714285737,29.0,31.746822
304554,46.55,29.69,2.15,0,0,52636.0,1,0,0,28.571428571428573,9.495714285714286,68.0,397.6285714285737,42.0,42.709164
306979,54.82,29.69,1.99,0,0,48258.0,1,0,0,162.85714285714286,11.715714285714286,0.0,155.69999999999862,45.0,43.492752
309393,57.0,29.953333333333337,2.05,0,0,46241.0,1,0,0,162.85714285714286,11.715714285714286,0.0,155.69999999999862,45.0,42.951782
311786,15.33,27.15,2.09,0,0,48258.0,1,0,0,162.85714285714286,11.715714285714286,0.0,155.69999999999862,57.0,50.706875
314376,38.64,29.343333333333337,2.07,0,0,48258.0,1,0,0,162.85714285714286,11.715714285714286,0.0,155.69999999999862,50.0,48.62351
316777,64.38,25.31,2.08,0,0,46241.0,1,0,0,162.85714285714286,11.715714285714286,0.0,155.69999999999862,29.0,33.57948
318883,43.879999999999995,29.483333333333334,2.1,0,0,48258.0,1,0,0,162.85714285714286,11.715714285714286,0.0,155.69999999999862,52.0,48.991943
321306,45.94,29.853333333333335,2.19,1,0,46241.0,0,0,0,162.85714285714286,11.715714285714286,0.0,155.69999999999862,54.0,46.897182
323832,19.68,30.0,2.14,0,0,34723.0,1,0,0,85.0,11.598333333333334,26.600000000000005,236.11666666666713,36.0,41.247
326780,31.49,23.89,2.17,0,0,34723.0,1,0,0,85.0,11.598333333333334,26.600000000000005,236.11666666666713,46.0,44.73107
329593,68.0,25.473333333333336,2.26,0,0,45153.0,1,0,0,85.0,11.598333333333334,26.600000000000005,236.11666666666713,39.0,36.20975
332399,38.0,29.503333333333337,2.4,0,0,45153.0,1,0,0,85.0,11.598333333333334,26.600000000000005,236.11666666666713,48.0,45.819565
335029,47.65,27.57,2.23,0,0,34723.0,1,0,0,85.0,11.598333333333334,26.600000000000005,236.11666666666713,43.0,43.778824
337607,39.86,28.763333333333335,2.2,0,0,34723.0,1,0,0,85.0,11.598333333333334,26.600000000000005,236.11666666666713,43.0,44.17571
339633,56.25,23.85,2.06,0,0,46903.0,1,0,0,174.28571428571428,7.4557142857142855,302.1,30.528571428573343,39.0,45.241333
342492,43.870000000000005,23.523333333333337,2.17,0,0,45296.0,0,1,0,174.28571428571428,7.4557142857142855,302.1,30.528571428573343,63.0,51.346462
345346,50.84,23.8,2.14,0,1,45296.0,0,0,0,174.28571428571428,7.4557142857142855,302.1,30.528571428573343,50.0,49.539906
349232,52.96,23.83,2.14,0,0,45296.0,1,0,0,174.28571428571428,7.4557142857142855,302.1,30.528571428573343,51.0,45.501965
352439,33.73,23.81,2.19,0,0,45296.0,1,0,0,174.28571428571428,7.4557142857142855,302.1,30.528571428573343,58.0,51.266354
354755,46.81999999999999,29.503333333333337,2.09,0,0,46903.0,1,0,0,174.28571428571428,7.4557142857142855,302.1,30.528571428573343,39.0,46.56908
356900,54.94,29.573333333333334,2.18,0,0,46903.0,1,0,0,174.28571428571428,7.4557142857142855,302.1,30.528571428573343,41.0,46.815685
360645,17.22,23.553333333333335,2.13,0,1,46903.0,0,0,0,174.28571428571428,7.4557142857142855,302.1,30.528571428573343,45.0,48.336704
362659,40.33,23.393333333333334,2.28,0,0,45296.0,1,0,0,174.28571428571428,7.4557142857142855,302.1,30.528571428573343,40.0,45.667477
365361,57.99,24.01,1.91,0,0,52599.0,1,0,0,32.0,8.181666666666667,345.5,-573.9833333333324,52.0,44.278347
367350,23.67,26.123333333333335,1.97,0,0,47893.0,1,0,0,32.0,8.181666666666667,345.5,-573.9833333333324,47.0,48.350304
369371,33.89,23.393333333333334,2.02,0,0,52599.0,1,0,0,32.0,8.181666666666667,345.5,-573.9833333333324,44.0,45.484447
371329,53.94,29.573333333333334,1.92,0,0,52599.0,1,0,0,32.0,8.181666666666667,345.5,-573.9833333333324,41.0,42.83557
373394,48.36,29.78,2.14,0,0,47893.0,0,0,1,32.0,8.181666666666667,345.5,-573.9833333333324,47.0,48.2802
375332,47.21,30.01,2.03,0,0,52599.0,1,0,0,32.0,8.181666666666667,345.5,-573.9833333333324,39.0,43.060635
377351,53.78,29.523333333333337,2.09,0,0,47893.0,1,0,0,32.0,8.181666666666667,345.5,-573.9833333333324,46.0,46.277927
379486,25.12,30.0,2.01,0,0,52599.0,1,0,0,32.0,8.181666666666667,345.5,-573.9833333333324,46.0,44.276707
382065,50.64,29.543333333333337,1.83,0,0,47893.0,1,0,0,32.0,8.181666666666667,345.5,-573.9833333333324,59.0,51.529636
385126,47.29,29.85,2.38,0,0,45603.0,1,0,0,58.57142857142857,10.65,351.0,-560.7714285714274,62.0,51.59387
387416,70.83,24.78,2.17,0,1,38815.0,0,0,0,58.57142857142857,10.65,351.0,-560.7714285714274,39.0,34.173893
391210,47.72,23.503333333333337,2.09,0,0,45603.0,1,0,0,58.57142857142857,10.65,351.0,-560.7714285714274,59.0,54.397636
393534,37.81,23.83,2.0,0,0,38815.0,1,0,0,58.57142857142857,10.65,351.0,-560.7714285714274,57.0,51.026123
397108,59.04,29.76,2.16,0,0,40113.0,1,0,0,95.71428571428571,7.547142857142857,333.9,145.42857142857008,46.0,40.006855
399378,18.75,24.893333333333334,2.25,0,0,29926.0,0,1,0,95.71428571428571,7.547142857142857,333.9,145.42857142857008,36.0,42.363472
401344,63.91,23.71,2.05,0,0,29926.0,1,0,0,95.71428571428571,7.547142857142857,333.9,145.42857142857008,35.0,34.415344
406533,34.2,28.883333333333336,2.12,0,0,40113.0,1,0,0,95.71428571428571,7.547142857142857,333.9,145.42857142857008,55.0,48.545727
409229,53.98,29.74,2.16,0,0,29926.0,1,0,0,95.71428571428571,7.547142857142857,333.9,145.42857142857008,54.0,46.13698
411189,41.86,29.623333333333335,2.29,0,0,40113.0,1,0,0,95.71428571428571,7.547142857142857,333.9,145.42857142857008,33.0,43.69978
414545,48.23,29.9,2.14,0,0,29926.0,1,0,0,95.71428571428571,7.547142857142857,333.9,145.42857142857008,42.0,44.369076
416259,40.37,24.07,2.16,0,0,42508.0,1,0,0,41.42857142857143,13.137142857142859,0.0,12.614285714287433,40.0,43.20811
418621,51.16,29.373333333333335,2.12,0,0,53146.0,1,0,0,41.42857142857143,13.137142857142859,0.0,12.614285714287433,44.0,45.201523
421189,52.28,27.24,2.06,0,0,53146.0,1,0,0,41.42857142857143,13.137142857142859,0.0,12.614285714287433,57.0,48.129272
424645,38.22,23.483333333333334,2.07,0,0,42508.0,1,0,0,41.42857142857143,13.137142857142859,0.0,12.614285714287433,47.0,45.50595
426711,64.28,29.333333333333336,2.11,0,0,42508.0,1,0,0,41.42857142857143,13.137142857142859,0.0,12.614285714287433,32.0,33.83674
428910,51.1,30.2,2.03,0,0,42508.0,1,0,0,41.42857142857143,13.137142857142859,0.0,12.614285714287433,49.0,45.38022
430832,69.79,23.79,2.07,0,0,33338.0,1,0,0,91.66666666666667,6.109999999999999,334.6,77.84999999999934,34.0,33.554375
432961,49.989999999999995,29.623333333333335,2.14,0,0,46316.0,1,0,0,91.66666666666667,6.109999999999999,334.6,77.84999999999934,45.0,45.916206
434944,67.93,23.663333333333334,2.11,0,0,33338.0,1,0,0,91.66666666666667,6.109999999999999,334.6,77.84999999999934,31.0,33.92957
436880,34.52,29.47,2.19,0,0,46316.0,1,0,0,91.66666666666667,6.109999999999999,334.6,77.84999999999934,35.0,44.93735
439450,20.51,23.74,1.98,0,0,40600.0,1,0,0,221.0,3.108333333333333,330.0,1254.3166666666698,51.0,48.62628
441895,48.66,29.84,1.99,0,0,40600.0,1,0,0,221.0,3.108333333333333,330.0,1254.3166666666698,53.0,47.351814
445499,24.92,29.483333333333334,2.17,0,0,29141.0,1,0,0,221.0,3.108333333333333,330.0,1254.3166666666698,57.0,50.14526
447616,34.290000000000006,29.583333333333336,2.04,0,0,40600.0,1,0,0,221.0,3.108333333333333,330.0,1254.3166666666698,52.0,47.41431
450367,49.989999999999995,29.513333333333335,1.95,0,0,40600.0,1,0,0,221.0,3.108333333333333,330.0,1254.3166666666698,60.0,47.246887
453282,40.84,23.383333333333336,2.19,0,0,29141.0,1,0,0,221.0,3.108333333333333,330.0,1254.3166666666698,58.0,50.293327
455169,53.88,29.81,2.01,0,0,40600.0,1,0,0,221.0,3.108333333333333,330.0,1254.3166666666698,38.0,42.231216
457471,23.790000000000006,23.433333333333337,2.03,0,1,29141.0,0,0,0,221.0,3.108333333333333,330.0,1254.3166666666698,44.0,45.49547
459508,49.87,23.89,2.09,0,1,29141.0,0,0,0,221.0,3.108333333333333,330.0,1254.3166666666698,38.0,43.380627
461576,44.019999999999996,29.533333333333335,2.04,0,0,38600.0,1,0,0,59.0,14.706666666666665,358.2,45.83333333333823,52.0,48.466084
464042,31.66,23.79,2.22,0,0,31018.0,1,0,0,59.0,14.706666666666665,358.2,45.83333333333823,53.0,48.222237
465976,65.97,29.443333333333335,2.0,0,0,38600.0,1,0,0,59.0,14.706666666666665,358.2,45.83333333333823,31.0,33.994415
467951,57.58,29.383333333333336,2.1,0,0,31018.0,1,0,0,59.0,14.706666666666665,358.2,45.83333333333823,41.0,40.610294
470523,31.66,29.71,2.09,0,0,38600.0,1,0,0,59.0,14.706666666666665,358.2,45.83333333333823,57.0,49.521294
472528,57.09,29.443333333333335,1.93,0,0,52791.0,1,0,0,248.33333333333334,8.698333333333332,338.2,190.7333333333363,38.0,41.622684
474506,59.6,29.86,2.12,0,0,42663.0,1,0,0,248.33333333333334,8.698333333333332,338.2,190.7333333333363,39.0,38.655296
476880,33.95,29.323333333333334,2.06,0,0,52791.0,1,0,0,248.33333333333334,8.698333333333332,338.2,190.7333333333363,42.0,45.477352
479184,44.03,29.393333333333334,1.96,0,0,52791.0,1,0,0,248.33333333333334,8.698333333333332,338.2,190.7333333333363,32.0,40.537945
482232,51.58,23.673333333333336,2.15,0,0,42663.0,1,0,0,248.33333333333334,8.698333333333332,338.2,190.7333333333363,31.0,42.305138
484390,48.44,29.53,2.05,0,0,52791.0,1,0,0,248.33333333333334,8.698333333333332,338.2,190.7333333333363,54.0,46.33289
486814,54.52,23.82,1.98,0,0,52791.0,1,0,0,248.33333333333334,8.698333333333332,338.2,190.7333333333363,55.0,42.510654
489604,43.55,23.89,2.11,0,0,42663.0,1,0,0,248.33333333333334,8.698333333333332,338.2,190.7333333333363,61.0,49.86883
491486,68.03,26.43,2.02,0,0,46218.0,0,1,0,280.0,0.9316666666666666,0.0,-60.04999999999862,33.0,34.530083
494382,28.180000000000007,26.543333333333337,2.08,0,1,47946.0,0,0,0,280.0,0.9316666666666666,0.0,-60.04999999999862,57.0,51.290188
497326,53.23,23.66,1.94,0,0,46218.0,1,0,0,280.0,0.9316666666666666,0.0,-60.04999999999862,54.0,49.184063
500226,32.71,23.87,2.19,0,0,46218.0,1,0,0,280.0,0.9316666666666666,0.0,-60.04999999999862,63.0,53.185604
503828,38.75,29.413333333333334,2.13,0,0,47946.0,1,0,0,280.0,0.9316666666666666,0.0,-60.04999999999862,56.0,51.964718
505812,37.95,30.06,2.04,0,0,46218.0,1,0,0,280.0,0.9316666666666666,0.0,-60.04999999999862,50.0,48.385014
507941,46.59,29.453333333333337,2.17,0,0,48335.0,1,0,0,170.0,9.735,0.0,2306.866666666667,42.0,43.293728
509992,54.67,26.243333333333336,2.24,0,0,48335.0,1,0,0,170.0,9.735,0.0,2306.866666666667,36.0,38.937546
512325,34.82,23.87,2.16,0,0,34615.0,1,0,0,170.0,9.735,0.0,2306.866666666667,43.0,46.663605
514275,63.01,29.253333333333337,2.18,0,0,34615.0,1,0,0,170.0,9.735,0.0,2306.866666666667,36.0,36.24423
516581,64.76,23.76,2.24,0,0,46316.0,1,0,0,151.0,11.185,16.7,-50.39999999999634,45.0,39.764076
518574,59.76,29.93,2.23,0,0,45296.0,1,0,0,151.0,11.185,16.7,-50.39999999999634,38.0,39.32724
521630,38.75,29.483333333333334,2.16,0,0,46316.0,1,0,0,151.0,11.185,16.7,-50.39999999999634,63.0,50.20547
524383,51.709999999999994,23.423333333333336,2.16,0,0,46316.0,1,0,0,151.0,11.185,16.7,-50.39999999999634,49.0,48.183582
527010,64.39,23.71,2.16,0,0,45296.0,1,0,0,151.0,11.185,16.7,-50.39999999999634,42.0,36.37798
529852,31.75,27.193333333333335,2.37,0,0,45296.0,0,0,1,151.0,11.185,16.7,-50.39999999999634,37.0,47.48756
532022,41.81,29.433333333333337,2.31,0,0,45296.0,0,0,1,151.0,11.185,16.7,-50.39999999999634,47.0,46.415268
534095,55.84,23.613333333333337,2.11,0,0,52636.0,1,0,0,166.42857142857142,6.127142857142857,70.9,1037.8142857142877,35.0,38.047363
536737,31.83,29.673333333333336,2.1,0,0,41420.0,1,0,0,166.42857142857142,6.127142857142857,70.9,1037.8142857142877,49.0,49.82092
539647,28.92,29.643333333333334,1.98,0,0,41420.0,1,0,0,166.42857142857142,6.127142857142857,70.9,1037.8142857142877,54.0,49.725964
541688,31.03,26.93,2.07,0,0,52636.0,1,0,0,166.42857142857142,6.127142857142857,70.9,1037.8142857142877,44.0,43.098854
543689,48.129999999999995,23.633333333333336,2.02,0,0,41420.0,1,0,0,166.42857142857142,6.127142857142857,70.9,1037.8142857142877,48.0,47.30857
545602,69.7,29.743333333333336,2.12,0,0,52636.0,1,0,0,166.42857142857142,6.127142857142857,70.9,1037.8142857142877,30.0,35.042892
